kanji,meanings,kunyomi,onyomi
唱,"chant, recite, call upon, yell","とな.える","ショウ"
胃,"stomach, paunch, crop, craw","None","イ"
博,"Dr., command, esteem, win acclaim, Ph.D., exposition, fair","None","ハク、バク"
児,"newborn babe, child, young of animals","こ、-こ、-っこ","ジ、ニ、ゲイ"
的,"bull's eye, mark, target, object, adjective ending","まと","テキ"
副,"vice-, duplicate, copy","None","フク"
別,"separate, branch off, diverge, fork, another, extra, specially","わか.れる、わ.ける","ベツ"
好,"fond, pleasing, like something","この.む、す.く、よ.い、い.い","コウ"
器,"utensil, vessel, receptacle, implement, instrument, ability, container, tool, set","うつわ","キ"
省,"focus, government ministry, conserve","かえり.みる、はぶ.く","セイ、ショウ"
順,"obey, order, turn, right, docility, occasion","None","ジュン"
願,"petition, request, vow, wish, hope","ねが.う、-ねがい","ガン"
灯,"lamp, a light, light, no. of lights","ひ、ほ-、ともしび、とも.す、あかり","トウ"
照,"illuminate, shine, compare, bashful","て.る、て.らす、て.れる","ショウ"
漁,"fishing, fishery","あさ.る","ギョ、リョウ"
量,"quantity, measure, weight, amount","はか.る","リョウ"
完,"perfect, completion, end","None","カン"
貯,"savings, store, lay in, keep, wear mustache","た.める、たくわ.える","チョ"
札,"tag, paper money, no. of bonds, placard, bid","ふだ","サツ"
案,"plan, suggestion, draft, ponder, fear, proposition, idea, expectation, bill, worry","つくえ","アン"
未,"un-, not yet, hitherto, still, even now","いま.だ、ま.だ、ひつじ","ミ、ビ"
末,"not yet, end, close, tip, powder, posterity","すえ","マツ、バツ"
兆,"portent, 10**12, trillion, sign, omen, symptoms","きざ.す、きざ.し","チョウ"
然,"sort of thing, so, if so, in that case, well","しか、しか.り、しか.し、さ","ゼン、ネン"
特,"special","None","トク"
告,"revelation, tell, inform, announce","つ.げる","コク"
辺,"environs, boundary, border, vicinity, (kokuji)","あた.り、ほと.り、-べ","ヘン"
連,"take along, lead, join, connect, party, gang, clique","つら.なる、つら.ねる、つ.れる、-づ.れ","レン"
各,"each, every, either","おのおの","カク"
軍,"army, force, troops, war, battle","いくさ","グン"
