kanji,meanings,kunyomi,onyomi
旧,"old times, old things, old friend, former, ex-","ふる.い、もと","キュウ"
舌,"tongue, reed, clapper","した","ゼツ"
句,"phrase, clause, sentence, passage, paragraph, counter for haiku","None","ク"
則,"rule, follow, based on, model after","のっと.る","ソク"
可,"can, passable, mustn't, should not, do not","べ.き、-べ.し","カ、コク"
厚,"thick, heavy, rich, kind, cordial, brazen, shameless","あつ.い、あか","コウ"
永,"eternity, long, lengthy","なが.い","エイ"
河,"river","かわ","カ"
測,"fathom, plan, scheme, measure","はか.る","ソク"
圧,"pressure, push, overwhelm, oppress, dominate","お.す、へ.す、おさ.える、お.さえる","アツ、エン、オウ"
均,"level, average","なら.す","キン"
災,"disaster, calamity, woe, curse, evil","わざわ.い","サイ"
寄,"draw near, stop in, bring near, gather, collect, send, forward","よ.る、-よ.り、よ.せる","キ"
富,"wealth, enrich, abundant","と.む、とみ","フ、フウ"
墓,"grave, tomb","はか","ボ"
状,"status quo, conditions, circumstances, form, appearance","None","ジョウ"
現,"present, existing, actual","あらわ.れる、あらわ.す、うつつ、うつ.つ","ゲン"
銅,"copper","あかがね","ドウ"
導,"guidance, leading, conduct, usher","みちび.く","ドウ"
造,"create, make, structure, physique","つく.る、つく.り、-づく.り","ゾウ"
輸,"transport, send, be inferior","None","ユ、シュ"
格,"status, rank, capacity, character, case (law, grammar)","None","カク、コウ、キャク、ゴウ"
略,"abbreviation, omission, outline, shorten, capture, plunder","ほぼ、おか.す、おさ.める、はかりごと、はか.る、はぶ.く、りゃく.す、りゃく.する","リャク"
額,"forehead, tablet, plaque, framed picture, sum, amount, volume","ひたい","ガク"
条,"article, clause, item, stripe, streak","えだ、すじ","ジョウ、チョウ、デキ"
夢,"dream, vision, illusion","ゆめ、ゆめ.みる、くら.い","ム、ボウ"
舎,"cottage, inn, hut, house, mansion","やど.る","シャ、セキ"
故,"happenstance, especially, intentionally, reason, cause, circumstances, the late, therefore, consequently","ゆえ、ふる.い、もと","コ"
減,"dwindle, decrease, reduce, decline, curtail, get hungry","へ.る、へ.らす","ゲン"
銭,"coin, .01 yen, money","ぜに、すき","セン、ゼン"
武,"warrior, military, chivalry, arms","たけ.し","ブ、ム"
証,"evidence, proof, certificate","あかし","ショウ"
政,"politics, government","まつりごと、まん","セイ、ショウ"
布,"linen, cloth","ぬの","フ"
制,"system, law, rule","None","セイ"
製,"made in..., manufacture","None","セイ"
適,"suitable, occasional, rare, qualified, capable","かな.う","テキ"
敵,"enemy, foe, opponent","かたき、あだ、かな.う","テキ"
比,"compare, race, ratio, Phillipines","くら.べる","ヒ"
混,"mix, blend, confuse","ま.じる、-ま.じり、ま.ざる、ま.ぜる、こ.む","コン"
複,"duplicate, double, compound, multiple","None","フク"
資,"assets, resources, capital, funds, data, be conducive to, contribute to","None","シ"
識,"discriminating, know, write","し.る、しる.す","シキ"
境,"boundary, border, region","さかい","キョウ、ケイ"
増,"increase, add, augment, gain, promote","ま.す、ま.し、ふ.える、ふ.やす","ゾウ"
燃,"burn, blaze, glow","も.える、も.やす、も.す","ネン"
独,"single, alone, spontaneously, Germany","ひと.り","ドク、トク"
雑,"miscellaneous","まじ.える、まじ.る","ザツ、ゾウ"
準,"semi-, correspond to, proportionate to, conform, imitate","じゅん.じる、じゅん.ずる、なぞら.える、のり、ひと.しい、みずもり","ジュン"
確,"assurance, firm, tight, hard, solid, confirm, clear, evident","たし.か、たし.かめる","カク、コウ"
許,"permit, approve","ゆる.す、もと","キョ"
団,"group, association","かたまり、まる.い","ダン、トン"
因,"cause, factor, be associated with, depend on, be limited to","よ.る、ちな.む","イン"
志,"intention, plan, resolve, aspire, motive, hopes, shilling","シリング、こころざ.す、こころざし","シ"
恩,"grace, kindness, goodness, favor, mercy, blessing, benefit","None","オン"
応,"apply, answer, yes, OK, reply, accept","あた.る、まさに、こた.える","オウ、ヨウ、-ノウ"
慣,"accustomed, get used to, become experienced","な.れる、な.らす","カン"
義,"righteousness, justice, morality, honor, loyalty, meaning","None","ギ"
招,"beckon, invite, summon, engage","まね.く","ショウ"
提,"propose, take along, carry in hand","さ.げる","テイ、チョウ、ダイ"
損,"damage, loss, disadvantage, hurt, injure","そこ.なう、そこな.う、-そこ.なう、そこ.ねる、-そこ.ねる","ソン"
接,"touch, contact, adjoin, piece together","つ.ぐ","セツ、ショウ"
財,"property, money, wealth, assets","たから","ザイ、サイ、ゾク"
在,"exist, outskirts, suburbs, located in","あ.る","ザイ"
護,"safeguard, protect","まも.る","ゴ"
設,"establishment, provision, prepare","もう.ける","セツ"
支,"branch, support, sustain","ささ.える、つか.える、か.う","シ"
技,"skill, art, craft, ability, feat, performance, vocation, arts","わざ","ギ"
枝,"bough, branch, twig, limb","えだ","シ"
採,"pick, take, fetch, take up","と.る","サイ"
授,"impart, instruct, grant, confer","さず.ける、さず.かる","ジュ"
鉱,"mineral, ore","あらがね","コウ"
弁,"valve, petal, braid, speech, dialect, discrimination, dispose of, distinguish","かんむり、わきま.える、わ.ける、はなびら、あらそ.う","ベン、ヘン"
貧,"poverty, poor","まず.しい","ヒン、ビン"
容,"contain, form, looks","い.れる","ヨウ"
常,"usual, ordinary, normal, regular","つね、とこ-","ジョウ"
破,"rend, rip, tear, break, destroy, defeat, frustrate","やぶ.る、やぶ.れる、わ.れる","ハ"
職,"post, employment, work","None","ショク、ソク"
規,"standard, measure","None","キ"
賛,"approve, praise, title or inscription on picture, assist, agree with","たす.ける、たた.える","サン"
賀,"congratulations, joy","None","ガ"
復,"restore, return to, revert, resume","また","フク"
