kanji,meanings
寸,"measurement, foot/10"
専,"specialty, exclusive, mainly, solely"
乱,"riot, war, disorder, disturb"
頂,"place on the head, receive, top of head, top, summit, peak"
砂,"sand"
泉,"spring, fountain"
潮,"tide, salt water, opportunity"
源,"source, origin"
灰,"ashes, puckery juice, cremate"
宣,"proclaim, say, announce"
机,"desk, table"
株,"stocks, stump, shares, stock, counter for small plants"
若,"young, if, perhaps, possibly, low number, immature"
模,"imitation, copy, mock"
暮,"livelihood, make a living, spend time"
洗,"wash, inquire into, probe"
宝,"treasure, wealth, valuables"
皇,"emperor"
針,"needle, pin, staple, stinger"
処,"dispose, manage, deal with, sentence, condemn, act, behave"
熟,"mellow, ripen, mature, acquire skill"
枚,"sheet of..., counter for flat thin objects or sheets"
敬,"awe, respect, honor, revere"
警,"admonish, commandment"
討,"chastise, attack, defeat, destroy, conquer"
域,"range, region, limits, stage, level"
城,"castle"
誠,"sincerity, admonish, warn, prohibit, truth, fidelity"
延,"prolong, stretching"
誕,"nativity, be born, declension, lie, be arbitrary"
裁,"tailor, judge, decision, cut out (pattern)"
装,"attire, dress, pretend, disguise, profess"
裏,"back, amidst, in, reverse, inside, palm, sole, rear, lining, wrong side"
幕,"curtain, bunting, act of play"
肺,"lungs"
背,"stature, height, back, behind, disobey, defy, go back on, rebel"
腹,"abdomen, belly, stomach"
姿,"figure, form, shape"
亡,"deceased, the late, dying, perish"
訪,"call on, visit, look up, offer sympathy"
激,"violent, get excited, enraged, chafe, incite"
染,"dye, color, paint, stain, print"
蚕,"silkworm"
己,"self, snake, serpent"
奮,"stirred up, be invigorated, flourish"
権,"authority, power, rights"
翌,"the following, next"
困,"quandary, become distressed, annoyed"
庁,"government office"
忘,"forget"
認,"acknowledge, witness, discern, recognize, appreciate, believe"
誌,"document, records"
忠,"loyalty, fidelity, faithfulness"
看,"watch over, see"
我,"ego, I, selfish, our, oneself"
批,"criticism, strike"
捨,"discard, throw away, abandon, resign, reject, sacrifice"
揮,"brandish, wave, wag, swing, shake"
推,"conjecture, infer, guess, suppose, support"
担,"shouldering, carry, raise, bear"
操,"maneuver, manipulate, operate, steer, chastity, virginity, fidelity"
存,"suppose, be aware of, believe, feel"
吸,"suck, imbibe, inhale, sip"
乳,"milk, breasts"
将,"leader, commander, general, admiral, or, and again, soon, from now on, just about"
拡,"broaden, extend, expand, enlarge"
窓,"window, pane"
至,"climax, arrive, proceed, reach, attain, result in"
密,"secrecy, density (pop), minuteness, carefulness"
欲,"longing, covetousness, greed, passion, desire, craving"
沿,"run alongside, follow along, run along, lie along"
党,"party, faction, clique"
聖,"holy, saint, sage, master, priest"
