kanji,meanings,kunyomi,onyomi
品,"goods, refinement, dignity, article, counter for meal courses","しな","ヒン、ホン"
世,"generation, world, society, public","よ、さんじゅう","セイ、セ、ソウ"
員,"employee, member, number, the one in charge","None","イン"
負,"defeat, negative, -, minus, bear, owe, assume a responsibility","ま.ける、ま.かす、お.う","フ"
具,"tool, utensil, means, possess, ingredients, counter for armor, suits, sets of furniture","そな.える、つぶさ.に","グ"
真,"true, reality, Buddhist sect","ま、ま-、まこと","シン"
有,"possess, have, exist, happen, occur, approx","あ.る","ユウ、ウ"
昭,"shining, bright","None","ショウ"
丁,"street, ward, town, counter for guns, tools, leaves or cakes of something, even number, 4th calendar sign","ひのと","チョウ、テイ、チン、トウ、チ"
州,"state, province","す","シュウ、ス"
氷,"icicle, ice, hail, freeze, congeal","こおり、ひ、こお.る","ヒョウ"
泳,"swim","およ.ぐ","エイ"
消,"extinguish, blow out, turn off, neutralize, cancel","き.える、け.す","ショウ"
湖,"lake","みずうみ","コ"
畑,"farm, field, garden, one's specialty, (kokuji)","はた、はたけ、-ばたけ","None"
向,"yonder, facing, beyond, confront, defy, tend toward, approach","む.く、む.い、-む.き、む.ける、-む.け、む.かう、む.かい、む.こう、む.こう-、むこ、むか.い","コウ"
守,"guard, protect, defend, obey","まも.る、まも.り、もり、-もり、かみ","シュ、ス"
安,"relax, cheap, low, quiet, rested, contented, peaceful","やす.い、やす.まる、やす、やす.らか","アン"
植,"plant","う.える、う.わる","ショク"
相,"inter-, mutual, together, each other, minister of state, councillor, aspect, phase, physiognomy","あい-","ソウ、ショウ"
味,"flavor, taste","あじ、あじ.わう","ミ"
苦,"suffering, trial, worry, hardship, feel bitter, scowl","くる.しい、-ぐる.しい、くる.しむ、くる.しめる、にが.い、にが.る","ク"
葉,"leaf, plane, lobe, needle, blade, spear, no. of flat things","は","ヨウ"
界,"world","None","カイ"
全,"whole, entire, all, complete, fulfill","まった.く、すべ.て","ゼン"
主,"lord, chief, master, main thing, principal","ぬし、おも、あるじ","シュ、ス、シュウ"
注,"pour, irrigate, shed (tears), flow into, concentrate on, notes, comment, annotate","そそ.ぐ、さ.す、つ.ぐ","チュウ"
柱,"pillar, post, cylinder, support","はしら","チュウ"
客,"guest, visitor, customer, client","None","キャク、カク"
落,"fall, drop, come down","お.ちる、お.ち、お.とす","ラク"
運,"carry, luck, destiny, fate, lot, transport, progress, advance","はこ.ぶ","ウン"
詩,"poem, poetry","うた","シ"
調,"tune, tone, meter, key (music), writing style, prepare, exorcise, investigate","しら.べる、しら.べ、ととの.う、ととの.える","チョウ"
談,"discuss, talk","None","ダン"
式,"style, ceremony, rite, fn, method, system, form, expr","None","シキ"
定,"determine, fix, establish, decide","さだ.める、さだ.まる、さだ.か","テイ、ジョウ"
題,"topic, subject","None","ダイ"
転,"revolve, turn around, change","ころ.がる、ころ.げる、ころ.がす、ころ.ぶ、まろ.ぶ、うたた、うつ.る、くる.めく","テン"
橋,"bridge","はし","キョウ"
章,"badge, chapter, composition, poem, design","None","ショウ"
童,"juvenile, child","わらべ","ドウ"
商,"make a deal, selling, dealing in, merchant","あきな.う","ショウ"
次,"next, order, sequence","つ.ぐ、つぎ","ジ、シ"
暗,"darkness, disappear, shade, informal, grow dark, be blinded","くら.い、くら.む、くれ.る","アン"
放,"set free, release, fire, shoot, emit, banish, liberate","はな.す、-っぱな.し、はな.つ、はな.れる、こ.く、ほう.る","ホウ"
県,"prefecture","か.ける","ケン"
起,"rouse, wake up, get up","お.きる、お.こる、お.こす、おこ.す、た.つ","キ"
湯,"hot water, bath, hot spring","ゆ","トウ"
羊,"sheep","ひつじ","ヨウ"
美,"beauty, beautiful","うつく.しい","ビ、ミ"
洋,"ocean, western style","None","ヨウ"
着,"don, arrive, wear, counter for suits of clothing","き.る、-ぎ、き.せる、-き.せ、つ.く、つ.ける","チャク、ジャク"
集,"gather, meet, congregate, swarm, flock","あつ.まる、あつ.める、つど.う","シュウ"
進,"advance, proceed, progress, promote","すす.む、すす.める","シン"
習,"learn","なら.う、なら.い","シュウ、ジュ"
庫,"warehouse, storehouse","くら","コ、ク"
庭,"courtyard, garden, yard","にわ","テイ"
意,"idea, mind, heart, taste, thought, desire, care, liking","None","イ"
想,"concept, think, idea, thought","おも.う","ソウ、ソ"
息,"breath, respiration, son, interest (on money)","いき","ソク"
感,"emotion, feeling, sensation","None","カン"
打,"strike, hit, knock, pound, dozen","う.つ、う.ち-、ぶ.つ","ダ、ダアス"
指,"finger, point to, indicate, put into, play (chess), measure (ruler)","ゆび、さ.す、-さ.し","シ"
持,"hold, have","も.つ、-も.ち、も.てる","ジ"
拾,"pick up, gather, find, go on foot","ひろ.う","シュウ、ジュウ"
研,"polish, study of, sharpen","と.ぐ","ケン"
鼻,"nose, snout","はな","ビ"
投,"throw, discard, abandon, launch into, join, invest in, hurl, give up, sell at a loss","な.げる、-な.げ","トウ"
軽,"lightly, trifling, unimportant","かる.い、かろ.やか、かろ.んじる","ケイ"
反,"anti-","そ.る、そ.らす、かえ.す、かえ.る、-かえ.る","ハン、ホン、タン、ホ"
坂,"slope, incline, hill","さか","ハン"
板,"plank, board, plate, stage","いた","ハン、バン"
返,"return, answer, fade, repay","かえ.す、-かえ.す、かえ.る、-かえ.る","ヘン"
受,"accept, undergo, answer (phone), take, get, catch, receive","う.ける、-う.け、う.かる","ジュ"
始,"commence, begin","はじ.める、-はじ.める、はじ.まる","シ"
去,"gone, past, quit, leave, elapse, eliminate, divorce","さ.る、-さ.る","キョ、コ"
育,"bring up, grow up, raise, rear","そだ.つ、そだ.ち、そだ.てる、はぐく.む","イク"
流,"current, a sink, flow, forfeit","なが.れる、なが.れ、なが.す、-なが.す","リュウ、ル"
炭,"charcoal, coal","すみ","タン"
皮,"pelt, skin, hide, leather","かわ","ヒ"
波,"waves, billows, Poland","なみ","ハ"
列,"file, row, rank, tier, column","None","レツ、レ"
死,"death, die","し.ぬ、し.に-","シ"
取,"take, fetch, take up","と.る、と.り、と.り-、とり、-ど.り","シュ"
鉄,"iron","くろがね","テツ"
待,"wait, depend on","ま.つ、-ま.ち","タイ"
役,"duty, war, campaign, drafted labor, office, service, role","None","ヤク、エキ"
和,"harmony, Japanese style, peace, soften, Japan","やわ.らぐ、やわ.らげる、なご.む、なご.やか","ワ、オ、カ"
秒,"second (1/60 minute)","None","ビョウ"
委,"committee, entrust to, leave to, devote, discard","ゆだ.ねる","イ"
様,"Esq., way, manner, situation, polite suffix","さま、さん","ヨウ、ショウ"
球,"ball, sphere","たま","キュウ"
箱,"box, chest, case, bin, railway car","はこ","ソウ"
筆,"writing brush, writing, painting brush, handwriting","ふで","ヒツ"
等,"etc., and so forth, class (1st), quality, equal, similar","ひと.しい、など、-ら","トウ"
住,"dwell, reside, live, inhabit","す.む、す.まう、-ず.まい","ジュウ、ヂュウ、チュウ"
仕,"attend, doing, official, serve","つか.える","シ、ジ"
他,"other, another, the others","ほか","タ"
使,"use","つか.う、つか.い、-つか.い、-づか.い","シ"
倍,"double, twice, times, fold","None","バイ"
宿,"inn, lodging, relay station, dwell, lodge, be pregnant, home, dwelling","やど、やど.る、やど.す","シュク"
代,"substitute, change, convert, replace, period, age, generation, charge, rate, fee","か.わる、かわ.る、かわ.り、か.わり、-がわ.り、-が.わり、か.える、よ、しろ","ダイ、タイ"
化,"change, take the form of, influence, enchant, delude, -ization","ば.ける、ば.かす、ふ.ける、け.する","カ、ケ"
荷,"baggage, shoulder-pole load, bear (a burden), shoulder (a gun), load, cargo, freight","に","カ"
宮,"Shinto shrine, constellations, palace, princess","みや","キュウ、グウ、ク、クウ"
遊,"play","あそ.ぶ、あそ.ばす","ユウ、ユ"
旅,"trip, travel","たび","リョ"
物,"thing, object, matter","もの、もの-","ブツ、モツ"
屋,"roof, house, shop, dealer, seller","や","オク"
局,"bureau, board, office, affair, conclusion, court lady, lady-in-waiting, her apartment","つぼね","キョク"
礼,"salute, bow, ceremony, thanks, remuneration","None","レイ、ライ"
福,"blessing, fortune, luck, wealth","None","フク"
祭,"ritual, offer prayers, celebrate, deify, enshrine, worship","まつ.る、まつ.り、まつり","サイ"
由,"wherefore, a reason","よし、よ.る","ユ、ユウ、ユイ"
油,"oil, fat","あぶら","ユ、ユウ"
笛,"flute, clarinet, pipe, whistle, bagpipe, piccolo","ふえ","テキ"
申,"speak, have the honor to, monkey (zodiac sign)","もう.す、もう.し-、さる","シン"
神,"gods, mind, soul","かみ、かん-、こう-","シン、ジン"
所,"place","ところ、-ところ、どころ、とこ","ショ"
急,"hurry, emergency, sudden, steep","いそ.ぐ、いそ.ぎ","キュウ"
事,"matter, thing, fact, business, reason, possibly","こと、つか.う、つか.える","ジ、ズ"
君,"old boy, name-suffix","きみ、-ぎみ","クン"
両,"both, old Japanese coin, no. of vehicles, two","てる、ふたつ","リョウ"
歯,"tooth, cog","よわい、は、よわ.い、よわい.する","シ"
曲,"bend, music, melody, composition, pleasure, injustice, fault, curve, crooked, perverse, lean","ま.がる、ま.げる、くま","キョク"
昔,"once upon a time, antiquity, old times","むかし","セキ、シャク"
度,"degrees, occurrence, time, counter for occurrences","たび、-た.い","ド、ト、タク"
勝,"victory, win, prevail, excel","か.つ、-が.ち、まさ.る、すぐ.れる、かつ","ショウ"
族,"tribe, family","None","ゾク"
第,"No., residence","None","ダイ、テイ"
号,"nickname, number, item, title, pseudonym, name, call","さけ.ぶ、よびな","ゴウ"
写,"copy, be photographed, describe","うつ.す、うつ.る、うつ-、うつ.し","シャ、ジャ"
身,"body, somebody, person, one's station in life","み","シン"
者,"someone, person","もの","シャ"
暑,"sultry, hot, summer heat","あつ.い","ショ"
追,"chase, drive away, follow, pursue, meanwhile","お.う","ツイ"
路,"path, route, road, distance","みち, -じ","ロ、ル"
陽,"sunshine, yang principle, positive, male, heaven, daytime","ひ","ヨウ"
院,"Inst., institution, temple, mansion, school","None","イン"
階,"storey, stair, counter for storeys of a building","きざはし","カイ"
究,"research, study","きわ.める","キュウ、ク"
深,"deep, heighten, intensify, strengthen","ふか.い、-ぶか.い、ふか.まる、ふか.める、み-","シン"
練,"practice, gloss, train, drill, polish, refine","ね.る、ね.り","レン"
終,"end, finish","お.わる、-お.わる、おわ.る、お.える、つい、つい.に","シュウ"
級,"class, rank, grade","None","キュウ"
緑,"green","みどり","リョク、ロク"
係,"person in charge, connection, duty, concern oneself","かか.る、かかり、-がかり、かか.わる","ケイ"
服,"clothing, admit, obey, discharge","None","フク"
命,"fate, command, decree, destiny, life, appoint","いのち","メイ、ミョウ"
酒,"sake, alcohol","さけ、さか-","シュ"
配,"distribute, spouse, exile, rationing","くば.る","ハイ"
豆,"beans, pea, midget","まめ、まめ-","トウ、ズ"
短,"short, brevity, fault, defect, weak point","みじか.い","タン"
皿,"dish, a helping, plate","さら","ベイ"
血,"blood","ち","ケツ"
温,"warm","あたた.か、あたた.かい、あたた.まる、あたた.める、ぬく","オン"
銀,"silver","しろがね","ギン"
根,"root, radical, head (pimple)","ね、-ね","コン"
飲,"drink, smoke, take","の.む、-の.み","イン、オン"
館,"building, mansion, large building, palace","やかた、たて","カン"
平,"even, flat, peace","たい.ら、-だいら、ひら、ひら-","ヘイ、ビョウ、ヒョウ"
幸,"happiness, blessing, fortune","さいわ.い、さち、しあわ.せ","コウ"
寒,"cold","さむ.い","カン"
表,"surface, table, chart, diagram","おもて、-おもて、あらわ.す、あらわ.れる、あら.わす","ヒョウ"
実,"reality, truth","み、みの.る、まこと、みの、みち.る","ジツ、シツ"
漢,"Sino-, China","None","カン"
乗,"ride, power, multiplication, record, no. of vehicles, board, mount, join","の.る、-の.り、の.せる","ジョウ、ショウ"
予,"beforehand, previous, myself, I","あらかじ.め","ヨ、シャ"
問,"question, ask, problem","と.う、と.い、とん","モン"
開,"open, unfold, unseal","ひら.く、ひら.き、-びら.き、ひら.ける、あ.く、あ.ける","カイ"
悲,"jail cell, grieve, sad, deplore, regret","かな.しい、かな.しむ","ヒ"
決,"decide, fix, agree upon, appoint","き.める、-ぎ.め、き.まる、さ.く","ケツ"
岸,"beach","きし","ガン"
速,"quick, fast","はや.い、はや-、はや.める、すみ.やか","ソク"
整,"organize, arranging, tune, tone, meter, key (music)","ととの.える、ととの.う","セイ"
重,"heavy, heap up, pile up, nest of boxes, -fold","え、おも.い、おも.り、おも.なう、かさ.ねる、かさ.なる、おも","ジュウ、チョウ"
動,"move, motion, change, confusion, shift, shake","うご.く、うご.かす","ドウ"
病,"ill, sick","や.む、-や.み、やまい","ビョウ、ヘイ"
医,"doctor, medicine","い.やす、い.する、くすし","イ"
区,"ward, district","None","ク、オウ、コウ"
登,"ascend, climb up","のぼ.る、あ.がる","トウ、ト、ドウ、ショウ、チョウ"
発,"discharge, departure, publish, emit, start from, disclose","た.つ、あば.く、おこ.る、つか.わす、はな.つ","ハツ、ホツ"
対,"vis-a-vis, opposite, even, equal, versus, anti-, compare","あいて、こた.える、そろ.い、つれあ.い、なら.ぶ、むか.う","タイ、ツイ"
薬,"medicine, chemical, enamel, gunpowder, benefit","くすり","ヤク"
央,"center, middle","None","オウ"
横,"sideways, side, horizontal, width, woof","よこ","オウ"
期,"period, time, date, term","None","キ、ゴ"
